episode,episode_length,total_rewards,avg_q,epsilon
0,12,"tf.Tensor(
[-8. -8.  4. -2. -2. -8. -2. -2. -8. -6. -2. -8.  0. -2.  0. -2. -8. -2.
 -6. -8. -2. -2. -8. -2. -8. -2. -8. -8. -2. -2. -8. -2. -8. -8. -2. -8.
 -2. -2.  4. -8. -8. -2. -2. -8. -8. -8. 10. -2. -8. -8. -2. -6. -2. -2.
 -8. -2. -8. -2. -8.  0.  4. -8. -6. -8.], shape=(64,), dtype=float32)",0.08464173,1.0
1,24,"tf.Tensor(
[  2. -18.  -4.   0. -18.  -6.  -4.   8.   6.  -2. -10.  -4.  -2. -16.
   0. -16.   8.  -6.  -8.   8.   0.  -6.   2.   0.  -4. -18.   0.  -4.
   8.   8.  18.  -4.  -6.  -6.   0.   2.  -6. -10.   2.  -6.  -4.  -6.
 -12.   0. -18.   0.   2. -18.   6.   0. -10.   6.  -6.   2.  -6. -12.
 -12.   2.   6.  -2.   2.   2.  12. -10.], shape=(64,), dtype=float32)",0.0635016,0.9950248756218907
2,41,"tf.Tensor(
[ 11. -11. -25.  -5. -11. -17.  -7. -13.   7.  -5.  -1.  -1. -17. -13.
  -7. -19. -31.   1. -17.  11. -17.   1. -25. -17. -13.   1.   1.  -1.
 -19.  -7. -11. -13.   1. -23. -11.  -7.   7. -13.   5. -11.   5. -17.
   1.  -5.   1.  -5.  -7. -17. -23.   1. -19.  23.  -5.  -1.  -5.  -5.
 -23. -13.   1. -11. -19.   5. -13.   5.], shape=(64,), dtype=float32)",0.04737754,0.990074503106359
3,60,"tf.Tensor(
[-24.   0. -18. -18. -24. -24. -12. -12. -24. -24.  -6. -12.  -6. -36.
 -42.   0. -12. -18. -36.  -6.   6.   6.   0.  -6. -36. -12. -18. -24.
 -30. -18.   6. -30. -12.   0. -48. -24. -18. -18.   0.  -6. -18. -30.
 -18. -12.   6. -18. -24. -36. -36.   0. -24. -12. -18.   0. -24. -30.
 -30. -18. -12.   0.  -6.   0. -36. -24.], shape=(64,), dtype=float32)",0.032486826,0.98514875930981
4,23,"tf.Tensor(
[  7. -11.   5. -13.   5.  -5.   7.   7.  -1.  -7. -13.   5. -11.  -1.
   1.  -7.  -5. -17. -17.  -1. -11.  -5. -13.  -7. -11.  -5. -11.  -7.
  -5.   5. -13.  -1.  -5. -17.  -1.  -7.   5.   1. -13.   1.  -5.  -5.
   1.   1. -17. -11. -17.  -7. -11.   5. -17.  -7. -11.  -5.  -5.   1.
 -17.   5. -23. -17. -11.  13.  -1.  -1.], shape=(64,), dtype=float32)",0.028505241,0.9802475217013037
5,25,"tf.Tensor(
[ -7.  -7. -11.   1.   1.  11. -13.  -1. -11. -17. -11.   7.   5. -11.
 -25.   1.   5. -13.  -1. -17.  -7.  -7.  -5.   1. -19. -13. -13.   7.
  -1. -11. -11.  -5.  -7. -19.  -5.   1. -11. -13.   1. -25. -13.  -1.
  -7.  -7.   5. -13. -13. -11.  -7.   7.  -7.   7.  -7. -19.  -7.  -7.
 -13.  -5.  -7. -25.  -7. -19.   1.   1.], shape=(64,), dtype=float32)",0.031212155,0.9753706683595063
6,18,"tf.Tensor(
[  0.  -6.   0.   0.  12.  -6.  -6.   0.  -6.   0.  -6.  12. -12.  -6.
  -6. -12.   0.  -6. -18. -12.  -6. -12.   6. -18. -12.  -6.  -6.  -6.
   0. -12. -12.  -6.  -6.  -6. -18.   0. -12.   0. -12.   6.  -6.  -6.
   0.  -6. -18.   6.  -6. -18.   0.  -6. -12.  -6.  -6.   0.  -6.  -6.
   6.  -6.  -6. -12.  -6.   0. -12. -12.], shape=(64,), dtype=float32)",0.035999596,0.970518077969658
7,42,"tf.Tensor(
[-18.  -6.   0. -30.   0.  -6. -12. -24.  -6.  -6.   0. -12. -24.   0.
   0. -18.   0. -24. -18.  18.   6.   0.  -6. -18. -30. -12. -36. -18.
   0. -24.   6.  -6.  -6. -12. -12. -12.   0.  -6. -24. -12.  -6. -12.
   0.   0. -24.  -6.   0.  18. -18.  -6. -18. -18.   0.  12. -30. -12.
   0. -24. -24. -18. -18. -12. -12. -12.], shape=(64,), dtype=float32)",0.045943804,0.9656896298205554
8,13,"tf.Tensor(
[-13.   5.  -7.  -7.   7.   5.  -1. -13.  -1.  -1. -11.   1.  -1.  -1.
 -11.  13. -11. -13.  -1.  -1.  -7. -13.  -1.  -1.  -1.  -5.  -5.   1.
   5.  -1.   1.   7.  -7.   5.  -5.  -5.  -7.  -1. -13.  -5.   5.  -7.
  -7.   7.  -5.  -7.  -1.   5.  -1.  -1.  -5.   5.   7.  -7.  -5.  -7.
  -1.   7.   7.  -1.   7.  -5.   5.  -5.], shape=(64,), dtype=float32)",0.05005368,0.9608852038015477
9,11,"tf.Tensor(
[ -5.  -5. -11. -11.  -7.   1.  -5.  -5.   1. -11.   5.  -1. -11.   1.
  -7.  -7.  -1.   1.  -5.   1.  -5.  -5. -11.  -5. -11.  -7.  -7.  -7.
 -11.  -5.   5.  -1. -11.  -5.   5.  -7.   1.  -5.  -5.  -1.   1.  -5.
   1.  11.   5.   7.   1.   1.   1.   1.  -7.   1.   5.  -5.  -1.  -5.
  -5.   5.   5.  -5.   5.   5.   1.   5.], shape=(64,), dtype=float32)",0.050664544,0.9561046803995501
